id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,popularite
ex10-5,Flareon,Rare Holo,Unseen Forces,EX,36.9,63.69,2005/08/01,[136],Naoyo Kimura,Non référencé
ex11-7,Jolteon δ,Rare Holo,Delta Species,EX,47.93,89.96,2005/10/31,[135],Kouki Saitou,#168
dp1-6,Lucario,Rare Holo,Diamond & Pearl,Diamond & Pearl,12.2,7.32,2007/05/01,[448],Ken Sugimori,#2
base4-6,Clefairy,Rare Holo,Base Set 2,Base,9.74,,2000/02/24,[35],Ken Sugimori,Non référencé
ex8-5,Claydol,Rare Holo,Deoxys,EX,9.17,11.11,2005/02/01,[344],Hajime Kusajima,Non référencé
pl2-1,Arcanine,Rare Holo,Rising Rivals,Platinum,19.6,14.92,2009/05/16,[59],Masakazu Fukuda,#48
ex12-9,Machamp,Rare Holo,Legend Maker,EX,9.24,20.51,2006/02/01,[68],Kouki Saitou,Non référencé
base1-6,Gyarados,Rare Holo,Base,Base,37.77,,1999/01/09,[130],Mitsuhiro Arita,Non référencé
hgss1-9,Quagsire,Rare Holo,HeartGold & SoulSilver,HeartGold & SoulSilver,6.23,3.45,2010/02/10,[195],match,#141
ex9-8,Milotic,Rare Holo,Emerald,EX,7.24,21.95,2005/05/01,[350],Kagemaru Himeno,#51
ex7-7,Dark Marowak,Rare Holo,Team Rocket Returns,EX,35.08,60.86,2004/11/01,[105],Mitsuhiro Arita,Non référencé
ex8-6,Crawdaunt,Rare Holo,Deoxys,EX,9.01,12.76,2005/02/01,[342],Tomoko Wakai,Non référencé
ex2-1,Armaldo,Rare Holo,Sandstorm,EX,9.49,8.24,2003/09/18,[348],Mitsuhiro Arita,Non référencé
base1-7,Hitmonchan,Rare Holo,Base,Base,16.55,,1999/01/09,[107],Ken Sugimori,Non référencé
pop6-8,Riolu,Uncommon,POP Series 6,POP,18.74,,2007/09/01,[447],Kouki Saitou,Non référencé
