id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,images_url,popularity_rank
sm8-235,Spell Tag,Rare Secret,Lost Thunder,Sun & Moon,5.59,,2018/11/02,,Ayaka Yoshida,https://images.pokemontcg.io/sm8/235_hires.png,Not Referenced
sm12-255,Oricorio-GX,Rare Rainbow,Cosmic Eclipse,Sun & Moon,6.39,,2019/11/01,[741],PLANETA Tsuji,https://images.pokemontcg.io/sm12/255_hires.png,Not Referenced
sm11-240,Keldeo-GX,Rare Rainbow,Unified Minds,Sun & Moon,8.39,,2019/08/02,[647],ConceptLab,https://images.pokemontcg.io/sm11/240_hires.png,#208
sm12-260,Naganadel & Guzzlord-GX,Rare Rainbow,Cosmic Eclipse,Sun & Moon,12.72,,2019/11/01,"[799, 804]",5ban Graphics,https://images.pokemontcg.io/sm12/260_hires.png,Not Referenced
sm11-243,Latios-GX,Rare Rainbow,Unified Minds,Sun & Moon,22.20,,2019/08/02,[381],ConceptLab,https://images.pokemontcg.io/sm11/243_hires.png,#149
sm12-261,Mega Lopunny & Jigglypuff-GX,Rare Rainbow,Cosmic Eclipse,Sun & Moon,24.95,,2019/11/01,"[39, 428]",aky CG Works,https://images.pokemontcg.io/sm12/261_hires.png,#159
sm12-262,Silvally-GX,Rare Rainbow,Cosmic Eclipse,Sun & Moon,11.74,,2019/11/01,[773],Megumi Mizutani,https://images.pokemontcg.io/sm12/262_hires.png,#134
sm11-245,Mega Sableye & Tyranitar-GX,Rare Rainbow,Unified Minds,Sun & Moon,39.73,,2019/08/02,"[248, 302]",5ban Graphics,https://images.pokemontcg.io/sm11/245_hires.png,#12
sm11-246,Mawile-GX,Rare Rainbow,Unified Minds,Sun & Moon,8.41,,2019/08/02,[303],ConceptLab,https://images.pokemontcg.io/sm11/246_hires.png,#116
sm11-248,Dragonite-GX,Rare Rainbow,Unified Minds,Sun & Moon,71.50,,2019/08/02,[149],ConceptLab,https://images.pokemontcg.io/sm11/248_hires.png,#32
sm12-268,Martial Arts Dojo,Rare Secret,Cosmic Eclipse,Sun & Moon,8.79,,2019/11/01,,5ban Graphics,https://images.pokemontcg.io/sm12/268_hires.png,Not Referenced
swsh45sv-SV022,Suicune,Rare Shiny,Shining Fates Shiny Vault,Sword & Shield,6.40,,2021/02/19,[245],Kagemaru Himeno,https://images.pokemontcg.io/swsh45sv/SV022_hires.png,#57
sm11-244,Aerodactyl-GX,Rare Rainbow,Unified Minds,Sun & Moon,12.26,,2019/08/02,[142],ConceptLab,https://images.pokemontcg.io/sm11/244_hires.png,Not Referenced
sm12-266,Lana's Fishing Rod,Rare Secret,Cosmic Eclipse,Sun & Moon,5.69,,2019/11/01,,Eske Yoshinob,https://images.pokemontcg.io/sm12/266_hires.png,Not Referenced
sm11-249,Naganadel-GX,Rare Rainbow,Unified Minds,Sun & Moon,7.61,,2019/08/02,[804],ConceptLab,https://images.pokemontcg.io/sm11/249_hires.png,Not Referenced
sm11-255,U-Turn Board,Rare Secret,Unified Minds,Sun & Moon,16.85,,2019/08/02,,sadaji,https://images.pokemontcg.io/sm11/255_hires.png,Not Referenced
sm11-256,Viridian Forest,Rare Secret,Unified Minds,Sun & Moon,26.72,,2019/08/02,,5ban Graphics,https://images.pokemontcg.io/sm11/256_hires.png,Not Referenced
